OBJECTID_12,FID_Parks,objectid_1,objectid,acreage,sqft,final_cat,type_,sector,origpkname,updatepknm,alterntnam,divname,shape_leng,globalid,created_us,created_da,last_edite,last_edi_1,maintenanc,dpw_ac,GlobalID_2,Shape__Are,Shape__Len,FID_Neighborhood,FID_BlockG,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng_1,FID_Neighb,AREA,PERIMETER,NEIGHBOR_,NEIGHBOR_I,HOOD,HOOD_NO,ACRES,SQMILES,DPWDIV,UNIQUE_ID,SECTORS,Shape_Le_1,Shape_Ar_1,Shape_Le_2,Page_Numbe,Shape_Length,Shape_Area
75,67,69,41,0.154424530000000,6726.705680820000453,Public School,SCH,11,Crescent School,Crescent School,Falson School,Eastern,345.243654680000020,222181fd-ed02-4c3c-819a-8dbea5c5bdea,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00, ,0.154424531398537,25d992f7-be9a-4347-a95d-ccd5f2102734,1080.562500000000000,138.292226859571002,21,37,42,003,130600,1,420031306001,Block Group 1,G5030,S,365630.000000000000000,0.000000000000000,+40.4521925,-079.8817225,8027.633926399999837,41,15092615.000000000000000,22217.805000000000291,42,2124,East Hills,28,348.076999999999998,0.541000000000000,2,6,11,22217.804508099998202,15092615.346799999475479,22185.538814600000478,0,0.001138828109342,0.000000066351193
76,68,70,107,1.079584990000000,47026.533942679998290,Public School,SCH,12,Liberty School,Liberty School,Liberty School,Eastern,862.765824670000029,7e29fb69-a731-4ce0-85f8-70d360271a0a,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00, ,1.07958498735957,ec63d834-6e92-4435-8763-3b54e3c7580a,7554.164062500000000,345.843392198158995,57,167,42,003,070900,2,420030709002,Block Group 2,G5030,S,136793.000000000000000,0.000000000000000,+40.4510923,-079.9473004,5126.461433739999848,42,25673624.000000000000000,25073.462999999999738,43,2125,Shadyside,68,592.104000000000042,0.921000000000000,2,23,12,25073.462298599999485,25673625.062800001353025,25072.181691000001592,0,0.002721337869736,0.000000463861954
77,69,71,109,0.160777660000000,7003.446953609999582,Public School,SCH,10,Linden School,Linden School,Linden School,Eastern,348.563882139999976,37de6533-2203-4575-8815-945d7bde9192,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00, ,0.160777662247079,5fd92f42-e54c-4442-8bd3-43906fc9a792,1124.710937500000000,139.739064445004004,34,75,42,003,981100,1,420039811001,Block Group 1,G5030,S,876833.000000000000000,0.000000000000000,+40.4420424,-079.9063310,14525.901631099999577,53,27997334.000000000000000,25607.969000000000960,54,2136,Point Breeze,63,645.695000000000050,1.004000000000000,3,6,10,25607.969186800000898,27997334.375300001353025,25612.244875600001251,0,0.001080920035841,0.000000069071817
78,70,72,174,0.209271540000000,9115.831685600000128,Public School,SCH,10,Sterrett School,Sterrett School,Sterrett School,Eastern,463.384642900000017,b3f7c2e7-4ae8-48f0-8a52-ce76c705e7be,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00, ,0.209271536938466,2974028e-9ca4-49e4-b7b8-17fd16df2476,1464.003906250000000,185.811096022342014,34,75,42,003,981100,1,420039811001,Block Group 1,G5030,S,876833.000000000000000,0.000000000000000,+40.4420424,-079.9063310,14525.901631099999577,53,27997334.000000000000000,25607.969000000000960,54,2136,Point Breeze,63,645.695000000000050,1.004000000000000,3,6,10,25607.969186800000898,27997334.375300001353025,25612.244875600001251,0,0.001417701022839,0.000000089906951
79,71,73,173,0.377628740000000,16449.442265400000906,Public School,SCH,1,Spring Garden School,Spring Garden School,Spring Garden School,Northern,548.068817200000012,4fbc010b-b584-47c3-aaeb-606dd8bbb4d7,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00, ,0.377628743419746,80cdf26f-3cf6-47fe-a699-d6f3274372b8,2643.234375000000000,219.567607075523000,28,61,42,003,240600,2,420032406002,Block Group 2,G5030,S,495750.000000000000000,0.000000000000000,+40.4611811,-079.9859947,14534.378599199999371,20,10717292.000000000000000,20630.793000000001484,21,2103,Troy Hill,84,247.169999999999987,0.384000000000000,1,94,1,20630.793160099998204,10717291.895899999886751,29583.620672199998808,0,0.001811411401466,0.000000162280800
80,72,74,200,0.575309850000000,25060.397009609998349,Riverfront Park,RVR,16,Alcoa Park,Alcoa Park,Alcoa Park,State,912.328694949999999,66d69aea-4c7d-4aac-8aa6-9c7ef7453247,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00,Parks - Northern,0.575309854258376,931d637a-8df4-4a99-82a4-63c85821f8cd,4024.828125000000000,365.238981793712981,45,119,42,003,563200,1,420035632001,Block Group 1,G5030,S,316619.000000000000000,138447.000000000000000,+40.4496580,-079.9981098,9418.516408819999924,50,8455805.000000000000000,17994.087999999999738,51,2133,North Shore,57,195.014000000000010,0.303000000000000,1,18,16,17994.087546200000361,8455804.954080000519753,18012.231910099999368,0,0.003115483411924,0.000000246786595
81,73,75,157,0.018825620000000,820.040592909999987,Beautification Site,BTF,10,Regent Square War Memorial,Regent Square War Memorial,Regent Square War Memorial,Eastern,111.755971669999994,5326f0a6-c72f-47bf-83d9-e739277fda7c,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00,3rd Division,1.88256169210683E-02,00fc902f-7c59-42dc-9bdc-d87fb82aa4d1,131.664062500000000,44.773298996362399,68,215,42,003,141000,1,420031410001,Block Group 1,G5030,S,507903.000000000000000,0.000000000000000,+40.4328896,-079.8976172,16004.734350999999151,68,5362860.000000000000000,15999.778000000000247,69,2151,Regent Square,66,123.682000000000002,0.192000000000000,3,19,10,15999.777862599999935,5362859.971959999762475,16004.734290899999905,0,0.000358713018508,0.000000008086646
82,74,76,162,0.562011860000000,24481.138820529999066,Neighborhood Park,NP,9,Saline St Parklet,Saline Street Green Space,Saline Street Park,Schenley,683.783691149999981,c9d04732-f884-4f01-b246-e63df43fedb8,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00,3rd Division,0.562011862841636,082ee836-5e03-43e6-a8f3-1a588d702d2b,3929.738281250000000,273.973750005040984,24,48,42,003,151700,4,420031517004,Block Group 4,G5030,S,157178.000000000000000,0.000000000000000,+40.4216327,-079.9353993,5794.401719720000074,74,21551120.000000000000000,22518.270000000000437,75,2157,Greenfield,37,497.028000000000020,0.773000000000000,3,21,9,22518.270422300000064,21551119.981400001794100,22527.730169400001614,0,0.002172583313466,0.000000241391587
83,75,77,56,2.496374140000000,108741.622713179996936,Beautification Site,BTF,12,East Liberty Strip,East Liberty Blvd Strip,East Liberty Strip,Northeast,8837.890984969999408,8121f4fa-9924-4f9a-8873-2f401c09de85,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00,Parks - Northeast,2.49637414327298,3758f982-096b-4e46-afcd-3a9b97018e4b,17473.453125000000000,3482.029377521550032,44,114,42,003,120400,1,420031204001,Block Group 1,G5030,S,176103.000000000000000,0.000000000000000,+40.4633748,-079.9087841,5462.853099920000204,22,12407882.000000000000000,15726.185999999999694,23,2105,Larimer,45,286.160000000000025,0.445000000000000,2,21,12,15726.185820999999123,12407881.295499999076128,15727.705062900000485,0,0.012323251896686,0.000000243202254
84,75,77,56,2.496374140000000,108741.622713179996936,Beautification Site,BTF,12,East Liberty Strip,East Liberty Blvd Strip,East Liberty Strip,Northeast,8837.890984969999408,8121f4fa-9924-4f9a-8873-2f401c09de85,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00,Parks - Northeast,2.49637414327298,3758f982-096b-4e46-afcd-3a9b97018e4b,17473.453125000000000,3482.029377521550032,79,321,42,003,111500,4,420031115004,Block Group 4,G5030,S,273819.000000000000000,0.000000000000000,+40.4612717,-079.9187769,7027.658692959999826,16,16201454.000000000000000,22746.877000000000407,17,2099,East Liberty,29,373.649999999999977,0.581000000000000,2,25,12,22746.876839600001404,16201453.707900000736117,22823.263661400000274,0,0.027396795346726,0.000000829580909
